average_precision,roc_auc,log_loss,brier_score,threshold,precision,recall,f1,f2,mcc,balanced_accuracy,accuracy,predicted_positive_rate,tn,fp,fn,tp,status,run_id,model,feature_set_id,raw_group,feature_count,fold,train_rows,validation_rows,train_positive_rate,validation_positive_rate,fit_seconds,predict_seconds,convergence_warnings
0.5555071427063547,0.7720935572026127,0.5143226592232966,0.1719322230383298,0.5,0.8109756097560976,0.02345679012345679,0.04559478916695235,0.02911048853090527,0.10688337950138779,0.5106663875249007,0.725240562546262,0.008092770787071305,14564,31,5537,133,completed,random_forest__tree_plus_sales_amount_raw_components,random_forest,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,1,122011,20265,0.2187671603380023,0.27979274611398963,68.50212459999602,0.21705239999573678,0
0.575682489996301,0.7765808637125508,0.5163921677182783,0.17267786954386807,0.5,0.8174904942965779,0.03721654838151289,0.07119205298013245,0.04599717598733473,0.13511015656018602,0.5169453030155902,0.7224009104854273,0.013014003661734871,14384,48,5562,215,completed,random_forest__tree_plus_sales_amount_raw_components,random_forest,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,2,142292,20209,0.22654822477721867,0.28586273442525606,93.09757919999538,0.23344720000750385,0
0.6156820523423494,0.7781574770423707,0.5381732438001223,0.18183330792878868,0.5,0.826955074875208,0.07760774515927546,0.1418986438258387,0.09478582599076935,0.1917293019204799,0.5350215042351513,0.7017169511710997,0.02982334259626836,13644,104,5907,497,completed,random_forest__tree_plus_sales_amount_raw_components,random_forest,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,3,162557,20152,0.23318589786967034,0.3177848352520842,111.08488999999827,0.21042680001119152,0
0.6250141135777009,0.7881831445709071,0.5307424766552159,0.1787829714358088,0.5,0.811965811965812,0.09073543457497613,0.16323024054982818,0.11033681765389082,0.20479384730799155,0.5405757329703458,0.7086013462976813,0.0350037397157816,13641,132,5712,570,completed,random_forest__tree_plus_sales_amount_raw_components,random_forest,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,182766,20055,0.2390105380650668,0.31323859386686614,126.9905772000202,0.23151969999889843,0
0.43046244485067736,0.6814614219433222,0.5725237683438228,0.19409237199320328,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7202072538860104,0.0,14595,0,5670,0,completed,extra_trees__tree_plus_sales_amount_raw_components,extra_trees,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,1,122011,20265,0.2187671603380023,0.27979274611398963,19.885327999974834,0.19403080001939088,0
0.4321739522786483,0.6737703647041349,0.5801948826625621,0.19739353281072963,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.7141372655747439,0.0,14432,0,5777,0,completed,extra_trees__tree_plus_sales_amount_raw_components,extra_trees,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,2,142292,20209,0.22654822477721867,0.28586273442525606,25.237393599993084,0.1819472999777645,0
0.5017640737317803,0.6939194562534291,0.6049646605208553,0.20896829367400135,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6822151647479159,0.0,13748,0,6404,0,completed,extra_trees__tree_plus_sales_amount_raw_components,extra_trees,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,3,162557,20152,0.23318589786967034,0.3177848352520842,31.47247020000941,0.18273739999858662,0
0.5024467133607491,0.6874066436708931,0.6022616514548794,0.2075512961176495,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.6867614061331339,0.0,13773,0,6282,0,completed,extra_trees__tree_plus_sales_amount_raw_components,extra_trees,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,182766,20055,0.2390105380650668,0.31323859386686614,36.16645369998878,0.17037899998831563,0
0.5989113971157926,0.800121178944977,0.4738536016322008,0.15564684958949365,0.5,0.6432232346241458,0.3984126984126984,0.49204966238292314,0.43123854612095297,0.37068528491476055,0.6562806897339272,0.7698494942018258,0.17330372563533186,13342,1253,3411,2259,completed,lightgbm__tree_plus_sales_amount_raw_components,lightgbm,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,1,122011,20265,0.2187671603380023,0.27979274611398963,9.908869300008519,0.0624404999834951,0
0.6185923806316554,0.8083849955304832,0.468802702583686,0.15421825574494294,0.5,0.6546570589805177,0.4246148519993076,0.5151196976060479,0.45671197169986966,0.3894172243150905,0.6674764947357956,0.7714879509129595,0.18541244000197932,13138,1294,3324,2453,completed,lightgbm__tree_plus_sales_amount_raw_components,lightgbm,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,2,142292,20209,0.22654822477721867,0.28586273442525606,10.807657400000608,0.06010090000927448,0
0.6507293745558471,0.8024612790194956,0.4943806388172004,0.16390056072847214,0.5,0.6741258741258741,0.45159275452841974,0.5408640359079858,0.48351501370962346,0.3980047417987537,0.6749526181719783,0.7563517268757444,0.212882096069869,12350,1398,3512,2892,completed,lightgbm__tree_plus_sales_amount_raw_components,lightgbm,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,3,162557,20152,0.23318589786967034,0.3177848352520842,12.682549499993911,0.06740820000413805,0
0.661076871878499,0.8120960838786108,0.4813667739688983,0.15885436601570674,0.5,0.6857798165137615,0.4759630690862783,0.5619244502912987,0.5069858925664678,0.4233468636917305,0.6882465457970417,0.7675392670157068,0.21740214410371478,12403,1370,3292,2990,completed,lightgbm__tree_plus_sales_amount_raw_components,lightgbm,tree_plus_sales_amount_raw_components,sales_amount_raw_components,220,4,182766,20055,0.2390105380650668,0.31323859386686614,14.04009359999327,0.0646161999902688,0
